Minerio A,Minerio B,Minerio C,Minerio D,Minerio E,Minerio F,Minerio G,Minerio H,Minerio I,Minerio J,Minerio K,Minerio L,Minerio M,Minerio N,Minerio O,Minerio P,Minerio Q,Minerio R,Minerio S,Minerio T,Minerio U,DOMAIN
2.096117186,0.201624994,8.518360653,0.240124657,0.0,0,63.43412811,0.0,0,0,3.679704299,0.0,0.0,7.909201968,0.0,0.0,9.791875364,0,0,4.128862764,0.0,5
2.638668602,0.111833362,9.976316886,0.149753122,0.0,0,64.36511981,0.0,0,0,3.563290024,0.0,0.0,6.94677467,0.0,0.0,8.538134179,0,0,3.710109344,0.0,5
2.578121754,0.164836291,9.96797761,0.258985515,0.0,0,64.37591847,0.0,0,0,3.537260434,0.0,0.0,6.934678885,0.0,0.0,8.050516091,0,0,4.131704954,0.0,5
0.023984885,0.134767301,3.082535898,0.091557387,1.189682188,0,59.07719265,0.0,1,0,4.630331992,0.0,0.0,9.459995468,0.0,0.0,15.68418574,0,0,4.847144996,0.0,5
2.665339937,0.148121685,10.11328387,0.158576619,0.0,0,64.60841752,0.0,0,0,3.310234804,0.0,0.0,7.108236679,0.0,0.0,8.307186532,0,0,3.580602359,0.0,5
1.81099602,0.007244522,7.529752088,0.026057116,0.0,0,62.49270328,0.0,0,0,3.576371395,0.0,0.0,7.979450237,0.0,0.0,12.75506271,0,0,3.822362636,0.0,5
2.635259108,0.156253886,10.18799109,0.298194345,0.0,0,64.2758859,0.0,0,0,3.648366216,0.0,0.0,6.674691695,0.0,0.0,7.8929325,0,0,4.230425265,0.0,5
2.040819617,0.0,8.483127016,0.098399318,0.0,0,63.23531228,0.0,0,0,3.186992039,0.0,0.0,7.278820219,0.0,0.0,11.14358039,0,0,4.532949114,0.0,5
2.037721187,0.010577108,8.442652586,0.128366603,0.0,0,63.20017893,0.0,0,0,3.49115934,0.0,0.0,7.09953141,0.0,0.0,10.6971385,0,0,4.892674334,0.0,5
2.286938316,0.233604359,9.251840441,0.281969101,0.0,0,64.20720366,0.0,0,0,3.436416222,0.0,0.026476046,7.407273792,0.0,0.0,8.103161482,0,0,4.765116578,0.0,5
2.433394913,0.085228645,9.352548969,0.062906519,0.0,0,64.26719264,0.0,0,0,3.306500464,0.0,0.0,7.39170998,0.0,0.0,9.410678363,0,0,3.689839507,0.0,5
0.0,0.0,0.0,0.0,5.086028523,0,33.40786064,0.0,10,0,11.496375,0.0,0.0,7.007163953,0.0,0.0,31.31594201,0,0,0.0,1.37188806,3
0.0,0.0,0.0,0.0,5.480403072,0,32.72841433,0.0,11,0,11.69272215,0.0,0.0,7.111837007,0.0,0.0,30.56303146,0,0,0.0,1.273235408,3
0.0,0.0,0.0,0.0,5.280431583,0,32.90006365,0.0,10,0,11.72940531,0.0,0.0,6.962176391,0.0,0.0,31.09332755,0,0,0.0,1.463318131,3
0.0,0.0,0.0,0.0,5.141566621,0,32.87180293,0.0,10,0,11.73950929,0.0,0.0,6.946700873,0.0,0.0,31.47405134,0,0,0.0,1.588599237,3
0.0,0.0,0.0,0.0,5.925996368,0,32.38228078,0.0,12,0,12.2977894,0.0,0.0,7.169710212,0.0,0.0,28.82050843,0,0,0.0,1.148744533,3
0.0,0.0,0.0,0.0,4.596265572,0,33.34321477,0.0,9,0,10.68092273,0.0,0.0,7.61025071,0.0,0.0,33.14678779,0,0,0.0,1.378823013,3
0.0,0.0,0.0,0.0,5.395868168,0,32.70052477,0.0,11,0,11.8824025,0.0,0.0,7.299407232,0.0,0.0,30.37496488,0,0,0.0,1.34552375,3
0.0,0.0,0.0,0.0,5.004585292,0,32.95440616,0.0,10,0,11.15213346,0.0,0.0,7.189177854,0.0,0.0,32.24577676,0,0,0.0,1.423589848,3
